xikin nan pvtaq ,abacus
Tomwg xiyum luudam peexanum,Tom has had his appendix removed 
Tom mwwg suitaram lamkho gvnum,Tom has his sweater on backwards 
Tom Meerin twnkv vijaqgo nvrwqnum,Tom has lent Mary a lot of money 
Tom ngulug lvgab 2013 hoqgv doobapakun,Tom has lived with us since 2013 
Tom twnk camumgob nyiimkunum,Tom has lost about thirty pounds 
Tomwn svkabo ajinv vigo doonum,Tom has many friends to help him 
Tom ham nyij xama sunum,Tom has never actually done that 
Tom ngam twnk lwgkam komanum,Tom has never asked me for money 
Tom lwgkam ajin arum maanum,Tom has never been very friendly 
Tom lwgkam soqtup maanum,Tom has never had a heart attack 
Tom lwgpalo gaql yvtab wwkampade,Tom has probably gone for a walk 
Tom mwwg otuqjaq hoqg nywxw ham nyem naadar kunum,Tom has remarried his first wife 
Tom gon pota ak xeqrob kunum,Tom has started to write a novel 
Tom luuxiam cengka kunbov,Tom has the experience necessary 
Noqg pui cengsam Tom doogpa,Tom has the information you need 
Tom luuxiam cengka kunbov,Tom has the necessary experience 
Tomwg gaari xarkumkoho gaaringv torumgo doonum,Tom has three cars in his garage 
Tomgv aljaqnbo nyemko oumgo doonum,Tom has three gorgeous daughters 
Hvvi aalho Tomgv dookumv oumgo doonum,Tom has three meetings on Monday 
Tomwg cukho pontinv sooumgo doonum,Tom has three pens in his pocket 
Tomgv yunibarsitig digringv oumgo doonum,Tom has three university degrees 
Tom ham hvvi aal otuqkam nyiyumdub nyipa,Tom has to do that before Monday 
Tom mwv mwwg anam kaal doodub nyipa,Tom has to look after his mother 
Tom ngam betompa ham ngo nyiyindvn hvl,Tom has told me I should do that 
Tom mwwclamanamam mwv nyidub mwwl doonum,Tom has unrealistic expectations 
Tom xarkasukho lwumgo xaryanum,Tom has won three races in a row 
Tom so vigo moodgob doomanum,Tom hasn't been living here long 
Tom sijaxab Astraliyab wwkama,Tom hasn't been to Australia yet 
Tom sijaxab pulisam betom maata,Tom hasn't called the police yet 
Tom mwwg nam hoqg nyisam sijaxab nyimata,Tom hasn't done his homework yet 
Tom aal loopwho hog ak kam dvmanum,Tom hasn't eaten a thing all day 
Tom mwwg honynamam sijaxab nyiyum maada,Tom hasn't finished his training 
Tom mwwg namam sijaxab toj neemata,Tom hasn't painted his house yet 
Tom sijaxab pui ak kam tapamata,Tom hasn't received any messages 
Tom swwrom aalam kookwjaqb boonam nyinw kemanum,Tom hates to work late on Friday 
Tom ui coonam hvb kiirnumam tapanum,Tom heard a bloodcurdling scream 
Tom namdaho nyi ak dunamam tapanum,Tom heard someone in the hallway 
Tom Meerin pvtw hoqgv keqlin mvdub svkanum,Tom helped Mary escape from jail 
Tom Meein naaxab cao mvdub svkanum,Tom helped Mary up off the floor 
Tom Meerin vj nyiixaqkoho svkanum,Tom helped Mary with the laundry 
Tom axakunam namho kesil doonum,Tom hid in an abandoned building 
Tom kitapam mwwg lamkho kesil apnum,Tom hid the book behind his back 
Tom Meerin pui bekubl bemdub goqnum,Tom hired Mary as an interpreter 
Nyi asaq ak hwwkamvdub Tom re goqnum,Tom hired a private investigator 
Tom Meerin laqlum soonan svvtaq hoqgv jiinum,Tom hit Mary with a baseball bat 
Aramam tapam horam hvl Tom mwwnum,Tom hopes it won't snow tomorrow 
Astraliyab wwkur yiknup hvl Tom mwwl doonum,Tom hopes to return to Australia 
Tom mwwg diploma mvnam ham ciqcho haaqpnum,Tom hung his diploma on the wall 
Tom gusam tuukub dubya tengl apnum,Tom hung the picture upside down 
Tom klas cwrw hoqgv nyibia jaqb xarlin num,Tom hurried out of the classroom 
Tom Meerig namub nyibia jaqb xaranum,Tom hurried over to Mary's house 
Tom heqtum nanho sabengam xwqlwqnum,Tom inserted the key in the lock 
Tom nyitbo baisaikel ak rvdub hvlja mwwl doonum,Tom intends to buy a new bicycle 
Tom ngam mwwg an abam kaatomnum,Tom introduced me to his parents 
Pvvkumko noosuho twnkam Tom rvlwq nanum,Tom invested his money in stocks 
Ngoqgab Tom nyi kaaka maanamja nyiv,Tom is a complete stranger to me 
Ngam Tom anio gobtw axa yaanum,Tom is a few years older than me 
Tom tapamho aljaqb soolaqdvn,Tom is a pretty good snowboarder 
Tom sayens hoqg bos aldub gon nyinbo akv,Tom is a science fiction fanatic 
Tom aljaqb lalum soonbo akv,Tom is a very good soccer player 
Tom tenisam aljaqb soonbov,Tom is a very good tennis player 
Tom mwwc lamanamjab mwwl kitap xeqnbo akv,Tom is a very imaginative writer 
Tom hwrci jaqnbo nyi akv,Tom is a very interesting person 
Tom surjaqb kwm kor mvnbov,Tom is a very shrewd businessman 
Bejaqbalo Tom sija dvdul dooxeqdo,Tom is actually eating right now 
Tom hvyiqboam nootudub bosjaqdwn,Tom is afraid of catching a cold 
Tom nyixaq nam hamja nyidub bosjaqdwn,Tom is afraid of making mistakes 
Tom ayam agub lengdub bosjaqdwn,Tom is afraid to go out at night 
Tom noqg hvdjaqgo aodvn,Tom is almost as tall as you are 
Tom lwxiam hog ak kam nyimab dookydvn,Tom is almost never busy anymore 
Tom lwxiam Meerin sooj-soopardvn,Tom is always flirting with Mary 
Tom lwxiam almaadub vj kookydvn,Tom is always impeccably dressed 
Tom lwxiam ngulam almab nyikydvn,Tom is always mooching off of us 
Tom ektorvla ho bemin xeqnbov,Tom is an actor and a songwriter 
Tomja nyi kaangam jaqnbo nyi akv,Tom is an extremely charming guy 
Tomja mwlwngam hilayab nyiyam soomin sooyabov,Tom is an extremely frank person 
Tom nyiixa akv ho mwgwjaqnam nyi akv,Tom is an old and trusted friend 
Tom mwwg boram lyiya keekybo akv,Tom is an overprotective brother 
Tom trak gaaringam xarnbov,Tom is apparently a truck driver 
Tom mwwg dingrnamam mwwpamab nyikydvn,Tom is apt to forget his promise 
Tom Meerig dvm mvlaqnam hvbkalam dvm mvlaqdvn,Tom is as good a cook as Mary is 
Tom mwwg nyilamanamma mwv cengdwn,Tom is aware of his shortcomings 
Hogv nyidudvn ham Tom cengnbov,Tom is aware of what's happening 
Tom yumab lwgkam doolamadwn,Tom is barely able to stay awake 
Tom nyi mengpanvk hvl bepan,Tom is being charged with murder 
Tom mwwg luukin gvnam vjam kwlynum,Tom is changing into his uniform 
Tom mwwg ajin lvgab xeqrwq-xeqtaqnum,Tom is chatting with his friends 
Tomwn aljaqb tomswrbov hvl bedwn,Tom is considered a good teacher 
Tom asaq hem hoqgv asaqjaqdwn,Tom is different from other boys 
Tom Meerig aado kvtaqg nyiinv,Tom is distantly related to Mary 
Tom laisens doomab gaari xardo,Tom is driving without a license 
Tom door doopwngam cengl swwdwn,Tom is environmentally conscious 
Tom twnk tayin dwr swwl doodo,Tom is facing financial problems 
Tom soq cengs sam cengdo,Tom is familiar with the subject 
Tom agum luumgo aljaqb goolaqdvn,Tom is fluent in three languages 
Tom Boston hoqg nyetbog imiq hoqgv,Tom is from a rich Boston family 
Tom ngoqg nyooro dook hoqg doonbov,Tom is from my neck of the woods 
Tom dortya-dortyaiku,Tom is getting bigger and bigger 
Tom Boston tol nyem naatayiku,Tom is getting married in Boston 
Tom Hvvi aalam nyem naatayin,Tom is getting married on Monday 
Tom Hvvi aalam Bostonwb wwtayin,Tom is going to Boston on Monday 
Tom nyibiajaqb abub nyitayiku,Tom is going to be a father soon 
Tom TV kaatab suyumam wwtayi,Tom is going to be on TV tonight 
Ham Tom noqgab rwjtayi,Tom is going to buy that for you 
Tom soq dug poolam dookum ak doogtayi,Tom is going to camp this summer 
Tom ham Meeri gab nyijtayi,Tom is going to do that for Mary 
Tom aramam ngulam svkatayi,Tom is going to help us tomorrow 
Tom so doodub abyjaqdo,Tom is going to love living here 
Tom Boston tol iskul wwtayi,Tom is going to school in Boston 
Tom hog mwlwngam aljaqb betom ladwn,Tom is good at explaining things 
Tom nyiingam aljaqb goorwqdo,Tom is good at talking to people 
Tom nam hog ak kesdo,Tom is hiding something from you 
Tom sija Lomdontv kwm kor ak mvdo,Tom is in London on business now 
Tom soolo hempjaqdo,Tom is in a very good mood today 
Tom mwwg opis hoqg dootomhv doodo,Tom is in his office at his desk 
Tom toxko cwrwhv doodo,Tom is in the interrogation room 
Tom imiq v twws ak mvl doodo,Tom is in the kitchen making tea 
Tomja kaanyir loodadvb gus mvdo,Tom is incredibly bad at drawing 
Tom mwv vigo hwrcwjaqb nyido,Tom is interested by many things 
Tom mwv vigo hwrcwjaqb nyido,Tom is interested in many things 
Tom metametikam hwrcijaqb cengdo,Tom is interested in mathematics 
Tom ngoq hvdjaq paku,Tom is just about as old as I am 
Tom mwv mwwg kwi lvgab sija doodo,Tom is living with his uncle now 
Tom pooril mwwg kvrtaq v bumjotvl doodo,"Tom is lying on his bed, reading "
Tom doonudeam hogv nyitayin ham sija mwwx-mwaql doodo,Tom is making vacation plans now 
"Tom Meerin nyem naatado, hvbma i?","Tom is married to Mary, isn't he?"
Tom Meerin vijaq vvi yaado,Tom is much heavier than Mary is 
Tom ngoqg mwwnam hamya nyekam yaapaku,Tom is much older than I thought 
Tom Meerin vigootu yaado,Tom is much shorter than Mary is 
Tom ngoqg nyemkoog ajin jinbw jaqgv,Tom is my daughter's best friend 
Tom ngoqg vnydenwg ko tuup oumdenv,Tom is my second son's third son 
Tom agum gamgkam nyiyumvmadvn,Tom is never at a loss for words 
Tom so aram lwgkam haaka maadwn,Tom is never here in the morning 
Tom Prancam sija poorykumadvn,Tom is no longer studying French 
Tenisho Tom ngoq lvgab soojum maadwn,Tom is no match for me in tennis 
Tomwn soq namso haam mvmadvn,Tom is not welcome in this house 
"Tom sija doonudvn, hvbma i?","Tom is now on vacation, isn't he?"
Tom dvrwq hamja mwwgam jaqdvn,Tom is obsessed with cleanliness 
Tom gaaringam xardkub nyekam jaqpaku,Tom is old enough to drive a car 
Tom samya cengyadukub nyekam jaqpaku,Tom is old enough to know better 
Tom ngul mwlwngam akam yaado,Tom is older than the rest of us 
Tom mwv Bostonob wwkurl wwdu duku,Tom is on his way back to Boston 
Tom ngoqg aljaqnbo honynam akv,Tom is one of my better students 
Tom ngoqg ajin jinbw akv,Tom is one of my closest friends 
Tom ngoqg cengnam pengko hoqgv mwlwngam aljaqnbo nyi akv,Tom is one of nicest guys I know 
Tom ngulug aljaqnbo rwrwqbo akv,Tom is one of our best customers 
Tom ngulugso ecam kaak koodub kenlog haanbo akv,Tom is one of our former clients 
Tom swwi-swwca ham hengdar maanbogo,Tom is out of touch with reality 
"Tom ham jikur dub nyidku, hvbma i?","Tom is paid to do that, isn't he?"
"Tom meeg kvtaq jido, hvbma i?","Tom is partially right, isn't he?"
Tom mwwg bon nyinamam hwrci jaqdo,Tom is passionate about his work 
Tom iyurupub wwdub mwwl doodo,Tom is planning a trip to Europe 
Tom sija xabdbvkam nyido,Tom is possibly crying right now 
Tom hoolu luuxy cirgab aljaqdo,Tom is pretty good at everything 
Tom sijaxab haangv almab dookampade,Tom is probably still frustrated 
Tom sijaxab hog boon nyis kaapamab dookampade,Tom is probably still unemployed 
"Tom googajaqnbogo, hvbma i?","Tom is quite talkative, isn't he?"
Tom Hvvi aalam namho doodaq maadwn,Tom is rarely at home on Mondays 
"Tom sija mood-mooma doomado, hvbma i?","Tom is really busy now, isn't he?"
"Tom kaangamjaqdo, hvbma i?","Tom is really handsome, isn't he?"
Tom ngoqg nyiin-nyedangv,Tom is related to me by marriage 
Tom nyiqtu lengnamam haangv xumtjaqdo,Tom is satisfied with the result 
Tom lwgwn iskulam kookwjaqb haadwn,Tom is sometimes late for school 
Tom soq nam tulusoqg penkoso doodwn,Tom is somewhere in the building 
Tom Meerig bwwyirjaho daqdo,Tom is standing in front of Mary 
Tom noqg lamkjaqho daqdo,Tom is standing right behind you 
Tom tolo aotv daqdo,Tom is standing right over there 
Tom sijaxaqb pwk yaburam hool doodo,Tom is still feeding the pigeons 
"Tom Pranc agumam tomswrbov, hvbma i?","Tom is teaching French, isn't he?"
"Tom bosjaqnum, hvbmab Meeri busmanum","Tom is terrified, but Mary isn't "
Ngoqg cengnam hoqgv Tom mwlwngam dortyaanbogo,Tom is the fattest person I know 
Tom mwv kaayadub mwwnbov,Tom is the one who wants to wait 
Mwwg klasho Tom mwv aro nyegakov,Tom is the only boy in his class 
Soq bonsam Tomja nyiyinbo nyi akv,Tom is the right man for the job 
Ngoqg cengnam hoqgv Tom mwlwngam aoyaanbogo,Tom is the tallest person I know 
Ngulug dookum hoqg twnk kaayabov Tom,Tom is the treasurer of our club 
Tom alam sija nyiyum pakde,Tom is through doing that by now 
Looyar goqndub Tomgv hog ak kam dooma,Tom is too poor to hire a lawyer 
Tom nyi roluho bemin bedub henyijaqdwn,Tom is too shy to sing in public 
Tom vpub wwdub aniojaqxeqdo,Tom is too young to travel alone 
Hogv nyipan hv Tom mwdwq jaqdub nyipa,Tom is troubled by what happened 
Tom Meerin lwnygo kooiyaab vvi yapa,Tom is twice as heavy as Mary is 
Hog ak hoqgv Tom mwlwg cengmanam akvb nyipa,Tom is unpopular for some reason 
"Tom meeg swwpaku, hvbma i?","Tom is up to something, isn't he?"
Tom Meerin vcjaqb haang lengpa,Tom is very disappointed in Mary 
Tom Prancam cengdub hwrci jaqdo,Tom is very interested in French 
"Tom hiyamkam birwqmadwn, hvbma i?","Tom is very unsociable, isn't he?"
Tom gaariho ngulam kaayal doodo,Tom is waiting for us in the car 
Tom oyum puiam kaal doodo,Tom is watching the evening news 
Tom aljaqnbo swwyiqbo vj ak gvdo,Tom is wearing a nice blue shirt 
Hogv nyipan ham Tom aljaqb cengdo,Tom is well aware of the problem 
Tom kwm kor pagoqkam mwdwq jaqdo,Tom is worried about the economy 
Tom noqg sig dorgam mwdwq jaqdo,Tom is worried about your safety 
Tom Meeri hvdgo cenglaqma,Tom isn't as intelligent as Mary 
Tom Meeri hvdgo benyi-berma,Tom isn't as stubborn as Mary is 
Tom mwwg vbw-bor hvdgo aoma,Tom isn't as tall as his brother 
Tom sam ngoqgab lwgta nyijkuma,Tom isn't doing this to me again 
Tom ham lwgta nyitakuma,Tom isn't going to do that again 
Tom ham soolo nyirampa,Tom isn't going to do that today 
Tom nyibiajaqb boon nyinam hoqgv doonuram,Tom isn't in any hurry to retire 
Tom Meerin vijaqgo bor yaama,Tom isn't much younger than Mary 
Tom ngam hog ak kam gookma,Tom isn't speaking to me anymore 
Tom hogv nyitayinyu ham mwv ak kam cengsma,Tom isn't sure what he should do 
Tom mwam nyi ak kam svka koodub mwwmabov,Tom isn't the one who needs help 
Tom soqg sam hog nyiram,Tom isn't usually this obstinate 
Tom jiyu hoqgv gwboduku,Tom jumped across the mud puddle 
Tom helikoptar hoqgv juqlnum,Tom jumped out of the helicopter 
Tom Meeri hogv nyipan ham kaapapa,Tom just found out what Mary did 
Tom svkatubwk hvl svgoq goql doonum,Tom just kept screaming for help 
Tom hog ak kam nyinwmadwn hvb nyil doonum,Tom just sat there looking bored 
Tom soolo vnyingv camumpaku,Tom just turned thirty years old 
Tom door doopwb nyitwqdub mwwnum,Tom just wanted to be neighborly 
Tom ngoqg hoqgv wwleqdub mwwdo,Tom just wanted to get rid of me 
Tom mwwg nyin nanam nyin nan pvvkumko ho pvvnum,Tom keeps his tools in a toolbox 
Tom Meerin nam hoqgv ruqxakunum,Tom kicked Mary out of the house 
Pilum nyiykoho Tom Meerin moopupnum,Tom kissed Mary during the movie 
Tom Meerin alub dooyak hvl bel moopuppel ho wwknum,Tom kissed Mary goodbye and left 
Tom cengpa Meeri Pranc agumam cengmadvnbohvl,Tom knew Mary didn't know French 
Tom cengpa Meeri vigo haang lengmabo hvl,Tom knew Mary wasn't very hungry 
Meeri hogam bepam hvbjaq Tom cengnum,Tom knew exactly what Mary meant 
Tom cengpa mwv mvdar lakrambo hvl,Tom knew he couldn't be replaced 
Tom mwv jila hoqgv wwyin duku hvl cengpa,Tom knew he needed to leave town 
Tom cengpa Meeri tomswrbovbo hvl,Tom knew that Mary was a teacher 
Meeri Bostonho doodwn hvl tom cengnum,Tom knew that Mary was in Boston 
Meeri kaalvkubo hvl Tom cengpaku,Tom knew that Mary was in danger 
Meeri hogam rvdub mwwdo ham Tom cengnum,Tom knew what Mary wanted to buy 
Mwv hogam hwwkardvn ham Tom cengspa,Tom knew what he was looking for 
Hiyvbul nyum boopan ham Tom cengnum,Tom knew who the kidnappers were 
"Soq pagosam Tom cengnum, hvbma i?","Tom knows about this, doesn't he?"
Hogamja Meeri mwwl doodwn hamja Tom cengpa,Tom knows exactly how Mary feels 
Meerin hogub hengpdub mvtayin ham Tom cengdwn,Tom knows how to make Mary happy 
Ngoqg mvtumnamam hogub mvtubtayin ham Tom cengdo,Tom knows how to push my buttons 
Meerig pagokam Tom vigo cengdwn,Tom knows quite a lot about Mary 
Tom Meerig ajin tuugin cengdwn,Tom knows some of Mary's friends 
Meeri hogamxe abymaadwn tuugin ham Tom cengdwn,Tom knows something Mary doesn't 
Meeri regengam abydvn hvl Tom cengdwn,Tom knows that Mary likes reggae 
Tom cengdo mwv Meerin mwgwdvn hvl,Tom knows that he can trust Mary 
Ham nyiyindvn hvl mwv atv Tom cengsdvn,Tom knows that he has to do that 
Tom mwwg nyimurkogab mwam jiitayinbo hvl mwv cengdo,Tom knows that he'll be punished 
Meeri hi lvgab haapan ham Tom cengdo,Tom knows the man Mary came with 
Ngulv mvyalaram hvl Tom mwv cengpa,Tom knows we aren't going to win 
"Hogam nyiyindvn ham Tom cengdo, hvbma i?","Tom knows what to do, doesn't he?"
Hogvja nyido ham Tom cengdo,Tom knows what's really going on 
Hoglob hibiqkam biqyindvn ham Tom cengdo,Tom knows where to draw the line 
Meerig nyubyuho Tom opungam apjinum,Tom laid flowers at Mary's grave 
"Tom nyernum, hvbmab hiyvkam nyirmanum","Tom laughed, but no one else did "
Tom mwv mwwg nyuqmam vj uuraho nyiibutvl doonum,Tom lay face down on the blanket 
Tom mooyo Astraliyab wwnwn,Tom left for Australia yesterday 
Tom mwwg kitapam gaari uuraho pvvnum,Tom left his textbook in the car 
Tom mwwg obyongam baas uuraho pvvnum,Tom left his umbrella on the bus 
Tom ai yupwho wmam mvmeqmab oxanum,Tom left the lights on all night 
Tom hog ak kam bemab wwleqkunum,Tom left without saying anything 
Tom sa hamya kopingam abydvn,Tom likes coffee better than tea 
Tom Meeri lvgab gaql yvnwdvn,Tom likes taking walks with Mary 
Tom kopi hamya sa ngam abydvn,Tom likes tea better than coffee 
Hoqhvb Tom nyinwdvn,Tom likes to do things like that 
Tom ww horskuho bemin bedub abydvn,Tom likes to sing in the bathtub 
Bepanamam Tom tagabdvn,Tom listened to the announcement 
Wwnkun vnyiho Tom Astraliyaho doonum,Tom lived in Australia last year 
Tom Japanho vnyi nyiiywgo doonum,Tom lived in Japan for ten years 
Tom nam namdaho vp cikwb doodwn,Tom lives alone in a large house 
Tom cuukigol doodwn,Tom lives just around the corner 
Tom korg koornygob wwleq twqlayil doodwn,Tom lives only a few blocks away 
Tom Astraliya gvvda dayagol doodwn,Tom lives somewhere in Australia 
Tom mwwg kemerangam hwwgaqdo,Tom looked around for his camera 
Tom nyi doomaku cwrw ak hwwgaqdo,Tom looked around the empty room 
Tom mwwg gus hvbja nyido,Tom looked just like his picture 
Tom mwam atv hengxwboja hvb nyisdvn,Tom looked like he was confident 
Tom mwv mwdwqjaqnbo hvb nyido,Tom looked like he was depressed 
Tom mwv ngaadkun hvbja nyido,Tom looked like he was disgusted 
Tom mwv vpy aibo hvb nyido,Tom looked like he was exhausted 
Tom mwv bosjaqnbo hvb nyido,Tom looked like he was horrified 
Tom mwv kaajiqloodama hvb nyido,Tom looked like he was irritated 
Tom mwv mwdwq saqk loodabo hvb nyido,Tom looked like he was miserable 
Tom mwv takin koqlup pan hvb nyido,Tom looked like he was plastered 
Tom mwv bos kacbo hvbja nyido,Tom looked like he was terrified 
Tom vnyi camum kunbo hvb nyido,Tom looks about thirty years old 
Tom mwv xabtabo hvb nyido,Tom looks like he's about to cry 
Tom mwv oramam kaapapeen hvb nyido,Tom looks like he's seen a ghost 
Tom meeg hengjiq maadwn hvb nyido,Tom looks slightly uncomfortable 
Tom mwwg lwwpo gvnam ham meeg hvrodub mvnum,Tom loosened the knot on his tie 
Tom mwwg koog atub nyinam hogv naaxa koopaku,Tom lost custody of his children 
Tom pokar sookho mwwg vjam opaq supa,Tom lost his shirt playing poker 
Tom haang lengkbanv Meerin nwqnum,Tom lost his temper and hit Mary 
Tom mwwg imiq nyiyamla ho mwwg ajin tulungam abydvn,Tom loved his family and friends 
Meerig mwam jinam kitap ham Tom abyjaqdwn,Tom loved the book Mary gave him 
Tom Meerin abydvn ho mwamkam mwn abydvn,Tom loves Mary and she loves him 
Tom ngam abydvn ho mwamkam ngo abydvn,"Tom loves me and I love him, too "
Tom piija hamla pranc haasin nam ham abydvn,Tom loves pizza and french fries 
Nuukasul nuudumbo nyinam ham Tom abydvn,Tom loves professional wrestling 
Tom politiks pagoqkam goodub abydvn,Tom loves talking about politics 
Tom mwwg alaq lvgab cegabdvn,Tom made a gesture with his hand 
Tom mwwxalamdub nyimuram nyinum,Tom made an embarrassing mistake 
Tom ham nyidumbanv nyimurnum,Tom made that mistake on purpose 
Kolejho Tom Pranc hamja naadyloodal naanum,Tom majored in French in college 
Tom politikel sayins ham naadyloodal naanum,Tom majored in political science 
Tom kor puqnbo ham nyil swwnum,Tom makes a living as a salesman 
Olo Tom moodjaqho hvvcdub nyil hvvckunum,Tom managed to get there in time 
Tom nyem aniojaqnbo ak nyem naanum,Tom married a much younger woman 
Tom ham nyikam yinpv hvbmab mwv ham abydvn,Tom may do that however he likes 
Hogam Tom dvnwdvn hoq mwlwham mwv dvdwn,Tom may eat whatever he wants to 
Hwdam Tom dvnwdvn ho mwv dvdwn,Tom may eat whenever he wants to 
Hoglojaqkam Tom dvnwyin ho dvtwqdvn,Tom may eat wherever he wants to 
Tom sijaxab hospitolho dookampade,Tom may still be in the hospital 
Sam Tom pul xamynvpv,Tom might be able to pull it off 
Tom teksi xarnbohvb nyiky nyipaqdvn,Tom moonlighted as a taxi driver 
Tom mvqlwq yaagin mwwg wwnamam gookydvn,Tom mostly talked about his trip 
Hogub nyijaqkam Tomwn betordvb nyido,Tom must be stopped at all costs 
Meerin Tom vcjaqb abydub nyima,Tom must not like Mary very much 
Tom kooibo tomswrbo akwb nyikinpan,Tom must've been a great teacher 
Tom haang lengl sida tanum,Tom nearly died of embarrassment 
Tom mwwg an-ab hoqgv tokur kinum,Tom needed his parents' approval 
Tom tubl pal wwyirdub nyinum,Tom needs crutches to get around 
Toxnamam Tom birwqdub nyinum,Tom needs to answer the question 
Tom Meerigab aky ak rwjdub nyinum,Tom needs to buy a gift for Mary 
Tom mwwg nyij wwjam kwlydub nyido,Tom needs to change his attitude 
Tom mwwg kooi bovbo hvl mwwnam hoqg meeg mwwkur kindo,Tom needs to lower his standards 
Tom jvqtwngam Meerin bekindub nyipa,Tom needs to tell Mary the truth 
Tom lwgkam mwv nyimurpa hvl loomadvn,Tom never admits that he's wrong 
Tom nam micung gookam abymanum,Tom never did like you very much 
Logta Tom wwrob yiknup hvl mwwpa maaknum,Tom never expected to walk again 
Ham Tom lwgkam alpa hvl loorwq yooram,Tom never fully appreciated that 
Tom lwgkam vcjaqb poorydvb nyimanum,Tom never had to study very much 
Tom lwgkam tomswrboam tamanum,Tom never listens to the teacher 
Tom lwgkam hengdarsukmaanum,Tom never regained consciousness 
Tom lwgkam kvn go dookamanum,Tom never stays more than a week 
Tom lwgkam mwwg imiq pagokam gookamaadwn,Tom never talks about his family 
Tom lwgkam mwv hogloho doodwn ham ngam betom maadwn,Tom never told me where he lived 
Tom lwgkam Meerin kaagabmab nyimadvn,Tom never took his eyes off Mary 
Tom lwgkam Pranc ham poorydvb mwwmanum,Tom never wanted to study French 
Meeri yumydo hvl Tom kaapanum,Tom noticed that Mary was asleep 
Meeri odmab doodo hvl Tom kaapanum,Tom noticed that Mary was silent 
Tom Meerin kopi pvtaq taqg jinum,Tom offered Mary a cup of coffee 
Tom mwwg door doopwngam svkatvso hvl benum,Tom offered to help his neighbor 
Tom xoox an ak ham svkatvso hvl benum,Tom offered to help the old lady 
Tom so lwxiam honynam ak hvb nyil haakypan,Tom often came here as a student 
Tom lwxiam iskulho haamab nyikynum,Tom often doesn't come to school 
Xaxararagab Tom lwxiam aaxy dvkynum,Tom often eats fruit for dessert 
Tom lwgkam mwwg goonam ham pvvmanum,Tom often fails to keep his word 
Tom lwxiam Meeri lvgab giitar mvkynum,Tom often plays guitar with Mary 
Tom mwwg vnyiqkam nyiqpyobanv ho Meerin kaanum,Tom opened his eyes and saw Mary 
Tom micungkogo mwwg vyapam ciqkonum,Tom opened the door a few inches 
Tom meeg vigo taqtyanbo piija ak mvtwk hvl benum,Tom ordered an extra large pizza 
Tom mwwg ajin tulu maqlwyag gon swwl doobin yaanum,Tom outlived many of his friends 
Tom mwwg namam mvxaqkoodub Meerin twnk jinum,Tom pays Mary to clean his house 
Rimot kontrolam Tom narubnum,Tom picked up the remote control 
Tom Meerin alyab pianongam mvdwn,Tom plays piano better than Mary 
Tom puutu dayab cwknum,Tom pointed towards the mountain 
Tom Bostonwb wwtanumam opaqkunum,Tom postponed his trip to Boston 
Tom mvyo-mvconanho gwwiyam toolwqnum,Tom poured milk into the blender 
Tom soq pagoqkam goomadukub hvl mwwrpaku,Tom prefers not to talk about it 
Tom Meerin kaapamaadwn hvb nyinum,Tom pretended he didn't see Mary 
Ngo haaxadvnlo hvl Tom mwwnum,Tom probably thought I was angry 
Tom Joonwn svkatainvk hvl Meerin mwv dingrnum,Tom promised Mary he'd help John 
Tom Meerin ciqc dayab tuulwqnum,Tom pushed Mary against the wall 
Tom yubk hoqg vyapam tuukonum,Tom pushed open the bedroom door 
Tom mwwg cukho ilwqnum,Tom put his hands in his pockets 
Tom mwwg kamtam poqbaqlayil ho lengnum,Tom put on his coat and went out 
Opu pvvn nan pwciho Tom opu haatamgo vlwqnum,Tom put some flowers in the vase 
Hwdgo xarladvn hvdgo Tom namub xarnum,Tom ran home as fast as he could 
Tom wm yaqduko uura hoqgv xarlin kunum,Tom ran out of the burning house 
Tom mwwg kamt cuk ho ickunum,Tom reached into his coat pocket 
Botolho hwdgo caacpakyu hvl Tom kaanum,Tom read the label on the bottle 
Tom kitap taqg jijaqkam poory rikamanum,Tom reads almost no books at all 
Hog ak almaabo hvl Tom mwwpanum,Tom realized something was wrong 
Meerig benamv bejiqpa hvl Tom mwwdarnum,Tom realized that Mary was right 
Meeri ngaapaku hvl Tom mwwdarkunum,Tom realized that Mary was tired 
Meerig nyinam ham Tom mwwdarkunum,Tom realized what Mary was doing 
Sayins pikson ham Tom abyjaqdwn,Tom really likes science fiction 
"Tom nam lamtwr twrmpa, hvbma i?","Tom really scared you, didn't he?"
Soq pagosam Tom hindjaqb mwwdub nyido,Tom really should think about it 
Tom Boston jaqb wwnwnum,Tom really wants to go to Boston 
Tom jvqtwngam tamab nyinwmaanum,Tom refused to conceal the truth 
Tom Meerig alaqkam pvpy ramwk hvl nyinum,Tom refused to shake Mary's hand 
Tom boonam nyidub xeqr ramwk hvl benum,Tom refused to sign the contract 
Pvvb ham Tom tip nwwramk hvl benum,Tom refused to sign the document 
Tom mwwg swwd mood mwlwho tumbub doonum,Tom remained single all his life 
Tom udum hoqg ponyapam naaxyanum,Tom removed the lid from the box 
Tom gaari torg kvn go bwwdub nvrnum,Tom rented a car for the weekend 
Tom mvny-mvyubanv mwwg boopyangam naaxyanum,Tom respectfully removed his hat 
Tom mwwg coqtwqkam mwwg alaqho nywwpnum,Tom rested his chin in his hands 
Tom pota taqg tiqpnum,Tom ripped up the piece of paper 
Tom mwwg naarangam tabkur tabxil meegaqnum,Tom rummaged around his backpack 
